# Experiment Metadata
# experiment: baseline_comparison
# algorithms: ['Pure_LPA', 'Pure_Leiden', 'Optimal_Hybrid', 'Louvain']
# repeat_count: 5
# datasets: ['karate', 'cora', 'citeseer', 'pubmed', 'dolphin', 'football', 'polblog', 'mexican']
# timestamp: 2025-08-06T12:20:07.937440
# optimal_hybrid_config: {'core_ratio': 0.5, 'centrality_method': 'pagerank', 'anchor_strategy': 'dynamic_iterative'}
# 
dataset,algorithm,run_id,runtime,nodes,edges,num_communities,modularity,conductance,coverage,nmi,ami,ari,accuracy,f1_score
karate,Pure_LPA,0,0.00026154518127441406,34,78,2,0.3036653517422748,0.29873737373737375,0.8333333333333334,0.3169932166591199,0.3008510455802624,0.3274021352313167,0.7941176470588235,0.7895667550839964
karate,Pure_LPA,1,0.00015163421630859375,34,78,2,0.35231755424063105,0.2497448979591837,0.8589743589743589,0.7323776321005694,0.7262625905568267,0.7717250324254216,0.9411764705882353,0.9409722222222222
karate,Pure_LPA,2,0.00014495849609375,34,78,2,0.3717948717948718,0.22727272727272727,0.8717948717948718,0.6772430411026017,0.6699133628094176,0.7716262975778547,0.9411764705882353,0.9411764705882353
karate,Pure_LPA,3,0.00011849403381347656,34,78,2,0.25608152531229444,0.3354166666666667,0.8205128205128205,0.41118040094190855,0.39666289244835445,0.3291384317521781,0.7941176470588235,0.7850045167118338
karate,Pure_LPA,4,0.0001404285430908203,34,78,2,0.25608152531229444,0.3354166666666667,0.8205128205128205,0.41118040094190855,0.39666289244835445,0.3291384317521781,0.7941176470588235,0.7850045167118338
karate,Pure_Leiden,0,0.0008132457733154297,34,78,4,0.41978961209730437,0.4416534181240064,0.7307692307692307,0.5878497068250673,0.5666658780697869,0.46459109844332386,0.6470588235294118,0.38608374384236455
karate,Pure_Leiden,1,0.0008630752563476562,34,78,4,0.41978961209730437,0.4416534181240064,0.7307692307692307,0.5878497068250673,0.5666658780697869,0.46459109844332386,0.6470588235294118,0.38608374384236455
karate,Pure_Leiden,2,0.0007164478302001953,34,78,4,0.41978961209730437,0.4416534181240064,0.7307692307692307,0.5878497068250673,0.5666658780697869,0.46459109844332386,0.6470588235294118,0.38608374384236455
karate,Pure_Leiden,3,0.0007524490356445312,34,78,4,0.41978961209730437,0.4416534181240064,0.7307692307692307,0.5878497068250673,0.5666658780697869,0.46459109844332386,0.6470588235294118,0.38608374384236455
karate,Pure_Leiden,4,0.0008292198181152344,34,78,4,0.41880341880341876,0.4421052631578948,0.7307692307692307,0.4899672048193782,0.4637523808301654,0.39223854417890813,0.6176470588235294,0.36822660098522164
karate,Optimal_Hybrid,0,0.0018520355224609375,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,0.8178571428571428
karate,Optimal_Hybrid,1,0.0014042854309082031,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,0.8178571428571428
karate,Optimal_Hybrid,2,0.0017998218536376953,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,0.8178571428571428
karate,Optimal_Hybrid,3,0.0019643306732177734,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,0.8178571428571428
karate,Optimal_Hybrid,4,0.0029218196868896484,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,0.8178571428571428
karate,Louvain,0,0.002151012420654297,34,78,4,0.39201183431952663,0.5067139990739311,0.6923076923076923,0.4943787001114025,0.4678696945580147,0.4069690992767916,0.6176470588235294,0.6146469049694856
karate,Louvain,1,0.0035567283630371094,34,78,4,0.4155982905982906,0.4367224880382775,0.7564102564102564,0.49767919088435086,0.47041736545606105,0.4292907180385289,0.6764705882352942,0.5665990534144693
