# Experiment Metadata
# experiment: 3way_anchor_strategy_comparison
# core_ratios: [0.4, 0.5, 0.6]
# anchor_strategies: ['Fixed_Single', 'Fixed_Iterative', 'Dynamic_Iterative']
# centrality_method: pagerank
# repeat_count: 5
# datasets: ['karate', 'cora', 'citeseer', 'pubmed', 'dolphin', 'football', 'polblog', 'mexican']
# timestamp: 2025-08-04T22:38:04.567502
# 
dataset,core_ratio,anchor_strategy,run_id,runtime,nodes,edges,num_communities,modularity,conductance,coverage,nmi,ami,ari,accuracy,core_nodes_count,periphery_nodes_count,leiden_time,lpa_time,lpa_iterations,centrality_time
karate,0.4,Fixed_Single,0,0.0019292831420898438,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.0005006790161132812,1.4781951904296875e-05,1,0.0012552738189697266
karate,0.4,Fixed_Single,1,0.0011761188507080078,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.00043010711669921875,1.1682510375976562e-05,1,0.0007021427154541016
karate,0.4,Fixed_Single,2,0.0011336803436279297,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.0004050731658935547,1.1444091796875e-05,1,0.0006864070892333984
karate,0.4,Fixed_Single,3,0.0012111663818359375,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.00043129920959472656,1.1682510375976562e-05,1,0.0007390975952148438
karate,0.4,Fixed_Single,4,0.0011472702026367188,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.00046372413635253906,1.1682510375976562e-05,1,0.000640869140625
karate,0.4,Fixed_Iterative,0,0.0018589496612548828,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.0006020069122314453,2.6702880859375e-05,2,0.001180887222290039
karate,0.4,Fixed_Iterative,1,0.0012469291687011719,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.0004603862762451172,3.0040740966796875e-05,2,0.0007073879241943359
karate,0.4,Fixed_Iterative,2,0.0014445781707763672,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.00042438507080078125,3.361701965332031e-05,2,0.0009360313415527344
karate,0.4,Fixed_Iterative,3,0.001708984375,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.0006840229034423828,2.8133392333984375e-05,2,0.0009515285491943359
karate,0.4,Fixed_Iterative,4,0.0017447471618652344,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.0005156993865966797,2.9325485229492188e-05,2,0.0011563301086425781
karate,0.4,Dynamic_Iterative,0,0.0013265609741210938,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.0005044937133789062,4.9114227294921875e-05,2,0.0007288455963134766
karate,0.4,Dynamic_Iterative,1,0.002160310745239258,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.0005280971527099609,4.673004150390625e-05,2,0.0015416145324707031
karate,0.4,Dynamic_Iterative,2,0.0012362003326416016,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.00051116943359375,4.57763671875e-05,2,0.0006449222564697266
karate,0.4,Dynamic_Iterative,3,0.0018758773803710938,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.0006928443908691406,6.747245788574219e-05,2,0.0010564327239990234
karate,0.4,Dynamic_Iterative,4,0.0021615028381347656,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,13,21,0.0007276535034179688,6.67572021484375e-05,2,0.0013146400451660156
karate,0.5,Fixed_Single,0,0.0020246505737304688,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,17,17,0.0008709430694580078,4.506111145019531e-05,1,0.0010559558868408203
karate,0.5,Fixed_Single,1,0.001867055892944336,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,17,17,0.0007450580596923828,1.3828277587890625e-05,1,0.0010600090026855469
karate,0.5,Fixed_Single,2,0.002010345458984375,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,17,17,0.0008363723754882812,1.3589859008789062e-05,1,0.0011172294616699219
karate,0.5,Fixed_Single,3,0.002398252487182617,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,17,17,0.0006532669067382812,1.0967254638671875e-05,1,0.0016961097717285156
karate,0.5,Fixed_Single,4,0.0014641284942626953,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,17,17,0.0006124973297119141,1.0728836059570312e-05,1,0.0008008480072021484
karate,0.5,Fixed_Iterative,0,0.0013508796691894531,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,17,17,0.0005300045013427734,1.8358230590820312e-05,2,0.0007643699645996094
karate,0.5,Fixed_Iterative,1,0.0012857913970947266,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,17,17,0.0005364418029785156,1.811981201171875e-05,2,0.0006990432739257812
karate,0.5,Fixed_Iterative,2,0.04833412170410156,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,17,17,0.0007920265197753906,2.6702880859375e-05,2,0.04747629165649414
karate,0.5,Fixed_Iterative,3,0.0013620853424072266,34,78,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,17,17,0.0005409717559814453,1.7881393432617188e-05,2,0.0007600784301757812
