Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI,Num_Communities,Is_Overlapping
pubmed,3,Leiden-LPA_Hybrid,0.3270583,0.7731241,0.2085101,0.0153183,0.1112508,83,False
pubmed,3,Pure_Leiden,0.4229193,0.7834209,0.2103366,0.0281158,0.0957078,42,False
pubmed,3,Pure_LPA,0.2790847,0.6228535,0.1756612,0.0002389,0.0121336,1343,False
pubmed,4,Leiden-LPA_Hybrid,0.2720888,0.7699554,0.2142019,0.0162445,0.1405154,82,False
pubmed,4,Pure_Leiden,0.4149556,0.7834972,0.2092818,0.025048,0.0950818,41,False
pubmed,4,Pure_LPA,0.2160687,0.6361059,0.1788222,0.0004099,0.0286172,1266,False
polblogs,0,Leiden-LPA_Hybrid,0.0435445,0.4255838,0.7104988,0.632172,0.8041257,3,False
polblogs,0,Pure_Leiden,0.0153856,0.4268252,0.6349792,0.2067002,0.766791,10,False
polblogs,0,Pure_LPA,0.0147307,0.4259809,0.700775,0.4733168,0.798036,4,False
polblogs,1,Leiden-LPA_Hybrid,0.0439565,0.4257107,0.7061717,0.6316314,0.8010808,3,False
polblogs,1,Pure_Leiden,0.0154772,0.4268252,0.6349792,0.2067002,0.766791,10,False
polblogs,1,Pure_LPA,0.0146956,0.4259809,0.700775,0.4733168,0.798036,4,False
polblogs,2,Leiden-LPA_Hybrid,0.0504489,0.4258095,0.700775,0.4733168,0.798036,4,False
polblogs,2,Pure_Leiden,0.0157135,0.4268252,0.6349792,0.2067002,0.766791,10,False
polblogs,2,Pure_LPA,0.0144687,0.4259809,0.700775,0.4733168,0.798036,4,False
polblogs,3,Leiden-LPA_Hybrid,0.0421789,0.4258095,0.700775,0.4733168,0.798036,4,False
polblogs,3,Pure_Leiden,0.0158763,0.4268252,0.6349792,0.2067002,0.766791,10,False
polblogs,3,Pure_LPA,0.0157764,0.4259809,0.700775,0.4733168,0.798036,4,False
polblogs,4,Leiden-LPA_Hybrid,0.0421216,0.4258095,0.700775,0.4733168,0.798036,4,False
polblogs,4,Pure_Leiden,0.0144093,0.427114,0.6320054,0.1859338,0.7654496,11,False
polblogs,4,Pure_LPA,0.0149295,0.4259809,0.700775,0.4733168,0.798036,4,False
dolphin,0,Leiden-LPA_Hybrid,0.0015867,0.5117875,0.5132996,0.3464755,0.3659626,5,False
dolphin,0,Pure_Leiden,0.0009527,0.5277283,0.593211,0.3423077,0.3901613,5,False
dolphin,0,Pure_LPA,0.0003078,0.5036193,0.5820904,0.4606061,0.4169634,5,False
dolphin,1,Leiden-LPA_Hybrid,0.0019357,0.4525731,0.7718091,0.8324324,0.6699105,3,False
dolphin,1,Pure_Leiden,0.0005875,0.5277283,0.593211,0.3423077,0.3901613,5,False
dolphin,1,Pure_LPA,0.000432,0.5012658,0.5912958,0.4410675,0.4498735,5,False
dolphin,2,Leiden-LPA_Hybrid,0.0018251,0.4525731,0.7718091,0.8324324,0.6699105,3,False
dolphin,2,Pure_Leiden,0.0006132,0.5277283,0.593211,0.3423077,0.3901613,5,False
dolphin,2,Pure_LPA,0.0003021,0.5036193,0.5820904,0.4606061,0.4169634,5,False
dolphin,3,Leiden-LPA_Hybrid,0.0024755,0.4525731,0.7718091,0.8324324,0.6699105,3,False
dolphin,3,Pure_Leiden,0.0005388,0.5277283,0.593211,0.3423077,0.3901613,5,False
dolphin,3,Pure_LPA,0.000349,0.5036193,0.5820904,0.4606061,0.4169634,5,False
dolphin,4,Leiden-LPA_Hybrid,0.0022771,0.5117875,0.5132996,0.3464755,0.3659626,5,False
dolphin,4,Pure_Leiden,0.0005314,0.5195799,0.4742528,0.232084,0.2708499,6,False
dolphin,4,Pure_LPA,0.0003805,0.5012658,0.5912958,0.4410675,0.4498735,5,False
football,0,Leiden-LPA_Hybrid,0.0023911,0.518027,0.6851589,0.2912088,0.3999177,5,False
football,0,Pure_Leiden,0.0010045,0.6045696,0.8903166,0.7659458,0.8069409,10,False
football,0,Pure_LPA,0.0006237,0.590537,0.8772491,0.6415882,0.7572247,10,False
football,1,Leiden-LPA_Hybrid,0.0029035,0.5234133,0.6838863,0.2908711,0.4020978,5,False
football,1,Pure_Leiden,0.001157,0.6045696,0.8903166,0.7659458,0.8069409,10,False
football,1,Pure_LPA,0.0006413,0.5670132,0.8351636,0.5996479,0.6663092,10,False
football,2,Leiden-LPA_Hybrid,0.002238,0.516409,0.6860755,0.292316,0.3873006,5,False
football,2,Pure_Leiden,0.0010035,0.6045696,0.8903166,0.7659458,0.8069409,10,False
football,2,Pure_LPA,0.0007796,0.590537,0.8772491,0.6415882,0.7572247,10,False
football,3,Leiden-LPA_Hybrid,0.0025959,0.5234133,0.6838863,0.2908711,0.4020978,5,False
football,3,Pure_Leiden,0.0011292,0.6045696,0.8903166,0.7659458,0.8069409,10,False
football,3,Pure_LPA,0.000737,0.590537,0.8772491,0.6415882,0.7572247,10,False
football,4,Leiden-LPA_Hybrid,0.0025568,0.5234133,0.6838863,0.2908711,0.4020978,5,False
football,4,Pure_Leiden,0.0008101,0.6045696,0.8903166,0.7659458,0.8069409,10,False
football,4,Pure_LPA,0.0005324,0.5670132,0.8351636,0.5996479,0.6663092,10,False
mexican,0,Leiden-LPA_Hybrid,0.001348,0.3212433,0.263834,0.788975,0.1604013,3,False
mexican,0,Pure_Leiden,0.0003922,0.3595222,0.2601049,0.542351,0.2100614,4,False
mexican,0,Pure_LPA,0.0002623,0.2064431,0.1791649,0.72,0.2592849,2,False
mexican,1,Leiden-LPA_Hybrid,0.001328,0.3214625,0.2465511,0.4251852,0.1511658,3,False
mexican,1,Pure_Leiden,0.0003402,0.3595222,0.2601049,0.542351,0.2100614,4,False
mexican,1,Pure_LPA,0.0002191,0.1551246,0.0831292,0.6260684,0.1336735,2,False
mexican,2,Leiden-LPA_Hybrid,0.0011225,0.3135729,0.2400727,0.7822222,0.1468781,3,False
mexican,2,Pure_Leiden,0.0004582,0.3595222,0.2601049,0.542351,0.2100614,4,False
mexican,2,Pure_LPA,0.0002146,0.2064431,0.1791649,0.72,0.2592849,2,False
mexican,3,Leiden-LPA_Hybrid,0.0017672,0.2887355,0.2307778,0.40553,0.0973749,4,False
