Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI,Num_Communities
1000000,0,Leiden-LPA_Hybrid,391.5176096,0.8989545,0.8857351,0.0520875,0.3199366,1309
1000000,0,Pure_Leiden,3358.1683488,0.8992204,0.9175755,0.1138806,0.4689421,2107
1000000,0,Louvain,297.5180058,0.8991955,0.9170412,0.1166526,0.4604862,2124
1000000,0,Pure_LPA,75.0546112,0.8984058,0.999959,0.9994797,0.9993883,11806
1000000,1,Leiden-LPA_Hybrid,391.8202868,0.8989604,0.8859804,0.0523061,0.3211576,1312
1000000,1,Pure_Leiden,3447.646872,0.8992192,0.9174475,0.1134174,0.4684604,2102
1000000,1,Louvain,321.15941,0.8991965,0.9163561,0.1149555,0.4572812,2100
1000000,1,Pure_LPA,68.7558842,0.8984096,0.9999303,0.999309,0.998895,11803
1000000,2,Leiden-LPA_Hybrid,404.0189934,0.8989567,0.8849755,0.0510722,0.3174577,1292
1000000,2,Pure_Leiden,3794.0203254,0.8992206,0.9169898,0.1119718,0.4662986,2086
1000000,2,Louvain,398.9003575,0.8991966,0.9165322,0.1156204,0.457515,2110
1000000,2,Pure_LPA,84.6393998,0.8984096,0.9999179,0.999114,0.9987832,11801
1000000,3,Leiden-LPA_Hybrid,450.5572388,0.8989523,0.8858427,0.0520478,0.3200866,1311
1000000,3,Pure_Leiden,3508.542537,0.8992201,0.91739,0.1133314,0.4682073,2100
1000000,3,Louvain,314.7321508,0.8991989,0.9157533,0.1128011,0.4544329,2078
1000000,3,Pure_LPA,65.4533048,0.8984095,0.9999725,0.9996967,0.9994683,11807
1000000,4,Leiden-LPA_Hybrid,399.4825675,0.8989541,0.8854251,0.051772,0.3182536,1305
1000000,4,Pure_Leiden,3261.7270229,0.8992192,0.9170458,0.1128524,0.465462,2093
1000000,4,Louvain,351.3528185,0.8991972,0.9165219,0.1156182,0.4577009,2108
1000000,4,Pure_LPA,51.12906,0.8984049,0.9999288,0.9995464,0.9985941,11807
