Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI,Num_Communities10000,0,Leiden-LPA_Hybrid,0.2626805,0.8911892,0.9291068,0.3849262,0.701639,129
10000,0,Pure_Leiden,0.1849525,0.8933294,0.9600103,0.4687194,0.8588992,147
10000,1,Leiden-LPA_Hybrid,0.3051186,0.8911011,0.9294845,0.3900282,0.7012129,130
10000,1,Pure_Leiden,0.178436,0.8933251,0.957892,0.4513241,0.8510486,143
10000,2,Leiden-LPA_Hybrid,0.2591722,0.891231,0.9303062,0.3957468,0.7038645,131
10000,2,Pure_Leiden,0.1789634,0.8933039,0.9599495,0.4687285,0.8582479,147
10000,3,Leiden-LPA_Hybrid,0.2620595,0.8912792,0.9315426,0.3936614,0.7140892,131
10000,3,Pure_Leiden,0.1762249,0.8933318,0.957403,0.4531875,0.8466318,143
10000,4,Leiden-LPA_Hybrid,0.2519102,0.8911861,0.929787,0.3911174,0.7030046,130
10000,4,Pure_Leiden,0.1868787,0.8933092,0.9594031,0.465695,0.8562196,146
20000,0,Leiden-LPA_Hybrid,0.6463013,0.894644,0.9181415,0.3074981,0.6274926,192
20000,0,Pure_Leiden,0.588953,0.8961466,0.9494119,0.3636476,0.7988724,220
20000,1,Leiden-LPA_Hybrid,0.7904232,0.8946128,0.9181571,0.3081625,0.6278383,192
20000,1,Pure_Leiden,0.6077127,0.896161,0.9493001,0.3646742,0.7978395,220
20000,2,Leiden-LPA_Hybrid,0.7166224,0.8947383,0.9216922,0.3169921,0.6461209,197
20000,2,Pure_Leiden,0.5630338,0.8961345,0.949798,0.3685455,0.7985743,222
20000,3,Leiden-LPA_Hybrid,0.7683001,0.8947142,0.9204855,0.310109,0.6432136,194
20000,3,Pure_Leiden,0.5644674,0.8961418,0.9501456,0.3684553,0.8018706,222
20000,4,Leiden-LPA_Hybrid,0.7241113,0.8947068,0.9196327,0.3081385,0.6387568,193
20000,4,Pure_Leiden,0.5860608,0.8961455,0.9511225,0.3747472,0.805836,225
40000,0,Leiden-LPA_Hybrid,1.7137401,0.8962712,0.9180402,0.252456,0.6016335,263
40000,0,Pure_Leiden,2.8910279,0.8972426,0.9482521,0.341237,0.7673616,333
40000,1,Leiden-LPA_Hybrid,1.7714832,0.8962658,0.9193986,0.2568025,0.6087923,267
40000,1,Pure_Leiden,2.6412539,0.8972391,0.9481317,0.3401432,0.7666169,333
40000,2,Leiden-LPA_Hybrid,1.8651757,0.8963323,0.9206743,0.2599071,0.6162159,269
40000,2,Pure_Leiden,2.5669358,0.8972341,0.9491692,0.3452426,0.7721966,337
40000,3,Leiden-LPA_Hybrid,1.7381065,0.8962655,0.9186437,0.2536247,0.6058852,264
40000,3,Pure_Leiden,2.5308588,0.8972299,0.9492873,0.3468528,0.7719004,338
40000,4,Leiden-LPA_Hybrid,1.7013693,0.8962853,0.9186962,0.2554255,0.6036884,265
40000,4,Pure_Leiden,2.4784069,0.8972367,0.9482543,0.34011,0.7677049,333
80000,0,Leiden-LPA_Hybrid,4.7356877,0.8975816,0.9116052,0.2074971,0.5424559,407
80000,0,Pure_Leiden,12.8507414,0.8983608,0.9402347,0.2701473,0.7042308,495
80000,1,Leiden-LPA_Hybrid,5.047375,0.8976344,0.9140349,0.213968,0.5547108,416
80000,1,Pure_Leiden,13.0992255,0.8983629,0.9417302,0.2756091,0.7138717,503
80000,2,Leiden-LPA_Hybrid,4.8021631,0.8976186,0.9131393,0.2094338,0.5533243,411
80000,2,Pure_Leiden,13.4678366,0.8983657,0.940495,0.2722332,0.7055716,497
80000,3,Leiden-LPA_Hybrid,5.0809004,0.897627,0.9139075,0.2126816,0.5556517,415
80000,3,Pure_Leiden,12.3815701,0.8983653,0.9402909,0.2703937,0.7049003,495
80000,4,Leiden-LPA_Hybrid,5.0092094,0.897589,0.9121861,0.2069066,0.5481516,407
80000,4,Pure_Leiden,13.2178574,0.8983686,0.9403937,0.2706489,0.7050636,496
160000,0,Leiden-LPA_Hybrid,14.7891488,0.8986897,0.9075507,0.1403521,0.49551,536
160000,0,Pure_Leiden,78.7428961,0.8991751,0.9362361,0.2328034,0.6502556,772
160000,1,Leiden-LPA_Hybrid,15.6007621,0.8986837,0.9074979,0.1408751,0.4937609,537
160000,1,Pure_Leiden,71.7284207,0.8991719,0.9370334,0.2365429,0.6545955,781
160000,2,Leiden-LPA_Hybrid,15.2019749,0.8986852,0.9065873,0.1381239,0.4909131,530
160000,2,Pure_Leiden,71.2918608,0.8991729,0.9368592,0.2348362,0.6547456,777
160000,3,Leiden-LPA_Hybrid,15.4891562,0.8986925,0.9076305,0.1424841,0.4930203,540
160000,3,Pure_Leiden,71.598851,0.8991666,0.937629,0.2390422,0.658137,787
160000,4,Leiden-LPA_Hybrid,15.7028365,0.8986833,0.9077349,0.1405351,0.4957303,538
