Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI
cora,5,Pure_LPA,0.0128121,0.6980528,0.4251718,0.0132175,0.1590788
cora,6,Leiden-LPA_Hybrid,0.0266688,0.7842032,0.4296256,0.0778746,0.2734767
cora,6,Pure_Leiden,0.0165029,0.810396,0.4681002,0.128246,0.2798993
cora,6,Louvain,0.1059239,0.8020807,0.4458503,0.1473923,0.2456747
cora,6,Pure_LPA,0.0149431,0.7080584,0.4209579,0.0141138,0.1663772
cora,7,Leiden-LPA_Hybrid,0.0265396,0.7830261,0.4517625,0.0831298,0.3002494
cora,7,Pure_Leiden,0.0163374,0.8107999,0.4584625,0.1190168,0.2851775
cora,7,Louvain,0.1267741,0.8045867,0.471069,0.179485,0.3040301
cora,7,Pure_LPA,0.0190835,0.7108018,0.4225233,0.0148277,0.1983673
cora,8,Leiden-LPA_Hybrid,0.0266788,0.78585,0.4311835,0.0792963,0.2781812
cora,8,Pure_Leiden,0.0171864,0.8124052,0.4777119,0.13049,0.3072014
cora,8,Louvain,0.1077523,0.8041161,0.4684563,0.147526,0.2627327
cora,8,Pure_LPA,0.0170336,0.7025093,0.4150004,0.0138594,0.1653553
cora,9,Leiden-LPA_Hybrid,0.0270796,0.7865174,0.4340445,0.0828637,0.2835027
cora,9,Pure_Leiden,0.0163682,0.8122174,0.4828567,0.1284387,0.2988133
cora,9,Louvain,0.0971735,0.8054831,0.4733196,0.1450543,0.2997003
cora,9,Pure_LPA,0.0151825,0.6985774,0.4195966,0.0128011,0.150315
citeseer,0,Leiden-LPA_Hybrid,0.0221319,0.8165757,0.357084,0.0175219,0.1824937
citeseer,0,Pure_Leiden,0.0125012,0.8563826,0.3355263,0.0610358,0.1680955
citeseer,0,Louvain,0.0791109,0.8524799,0.3338543,0.0755096,0.1631289
citeseer,0,Pure_LPA,0.0154846,0.701902,0.336243,0.003038,0.0311785
citeseer,1,Leiden-LPA_Hybrid,0.0197453,0.8168537,0.3547775,0.0143181,0.1471607
citeseer,1,Pure_Leiden,0.0123923,0.8559187,0.3389899,0.0545777,0.1573446
citeseer,1,Louvain,0.0917852,0.8519273,0.3313303,0.0749451,0.1613114
citeseer,1,Pure_LPA,0.0137429,0.7412154,0.3408741,0.0041084,0.0592161
citeseer,2,Leiden-LPA_Hybrid,0.020684,0.8192768,0.3600149,0.0175382,0.1812205
citeseer,2,Pure_Leiden,0.0124767,0.8553945,0.3324596,0.0524119,0.1442233
citeseer,2,Louvain,0.0735006,0.8497632,0.3244402,0.0664409,0.1463317
citeseer,2,Pure_LPA,0.0126178,0.7390102,0.3372076,0.0040699,0.0590622
citeseer,3,Leiden-LPA_Hybrid,0.0206425,0.816024,0.3580143,0.0162783,0.1666973
citeseer,3,Pure_Leiden,0.0125868,0.8557513,0.3360179,0.0564642,0.154662
citeseer,3,Louvain,0.07688,0.8519937,0.3259997,0.0583611,0.1573469
citeseer,3,Pure_LPA,0.0170555,0.7379635,0.3384559,0.0040066,0.0471058
citeseer,4,Leiden-LPA_Hybrid,0.0222313,0.8189381,0.3565364,0.017411,0.1703982
citeseer,4,Pure_Leiden,0.0125175,0.8557406,0.3285399,0.0509827,0.1341312
citeseer,4,Louvain,0.083451,0.8520332,0.3276142,0.0659649,0.1436736
citeseer,4,Pure_LPA,0.0133681,0.7168281,0.3381971,0.003194,0.0411173
citeseer,5,Leiden-LPA_Hybrid,0.0239975,0.8177342,0.3611888,0.0177536,0.1815466
citeseer,5,Pure_Leiden,0.0123951,0.8544628,0.3293515,0.0519895,0.153294
citeseer,5,Louvain,0.0858257,0.8536683,0.3296572,0.0630726,0.1470656
citeseer,5,Pure_LPA,0.0173666,0.7426234,0.3404246,0.0046984,0.0686645
citeseer,6,Leiden-LPA_Hybrid,0.021507,0.8166143,0.3484402,0.0153878,0.1506477
citeseer,6,Pure_Leiden,0.0125711,0.8559612,0.3301857,0.0566226,0.1520116
citeseer,6,Louvain,0.105052,0.8539303,0.3283036,0.0660462,0.1448782
citeseer,6,Pure_LPA,0.0171931,0.7372614,0.3359988,0.004034,0.0453016
citeseer,7,Leiden-LPA_Hybrid,0.0236218,0.8154587,0.3542312,0.0158351,0.1512664
citeseer,7,Pure_Leiden,0.0129273,0.8556985,0.3320425,0.0535262,0.1461528
citeseer,7,Louvain,0.0964932,0.8540796,0.3350599,0.0653019,0.1608635
citeseer,7,Pure_LPA,0.0169508,0.7325837,0.3370423,0.0039978,0.0447222
citeseer,8,Leiden-LPA_Hybrid,0.0217898,0.8149,0.356718,0.0177227,0.1748768
citeseer,8,Pure_Leiden,0.0124655,0.8560438,0.3330622,0.0665293,0.1562441
citeseer,8,Louvain,0.0849423,0.8515466,0.325777,0.0660959,0.1521621
citeseer,8,Pure_LPA,0.017019,0.7313528,0.3358865,0.0036796,0.0445387
citeseer,9,Leiden-LPA_Hybrid,0.0245032,0.8168281,0.3563438,0.0159592,0.1639507
citeseer,9,Pure_Leiden,0.0124617,0.8559111,0.3260236,0.0545554,0.1444823
citeseer,9,Louvain,0.0798028,0.8510407,0.3225573,0.0674432,0.1618866
citeseer,9,Pure_LPA,0.0137579,0.7243932,0.3348799,0.0034383,0.0381427
pubmed,0,Leiden-LPA_Hybrid,0.2781487,0.7757018,0.2200454,0.0479432,0.1410057
pubmed,0,Pure_Leiden,0.4053903,0.7834209,0.2103366,0.0281158,0.0957078
pubmed,0,Louvain,1.2675478,0.7658673,0.2003729,0.0293785,0.1110456
pubmed,0,Pure_LPA,0.2052107,0.6228535,0.1756612,0.0002389,0.0121336
pubmed,1,Leiden-LPA_Hybrid,0.2798791,0.7780824,0.2160312,0.0722561,0.1233486
pubmed,1,Pure_Leiden,0.4116108,0.7834972,0.2092818,0.025048,0.0950818
pubmed,1,Louvain,1.2643971,0.7727004,0.2007938,0.0250028,0.0962049
pubmed,1,Pure_LPA,0.1897261,0.6361059,0.1788222,0.0004099,0.0286172
pubmed,2,Leiden-LPA_Hybrid,0.2819934,0.7743555,0.2148113,0.073643,0.1339174
pubmed,2,Pure_Leiden,0.4036508,0.7829,0.2007279,0.0278643,0.0925209
pubmed,2,Louvain,1.4269905,0.7744984,0.1943279,0.0274013,0.0899851
pubmed,2,Pure_LPA,0.2012131,0.6319366,0.1792961,0.000345,0.0221933
pubmed,3,Leiden-LPA_Hybrid,0.3816679,0.7770873,0.2068328,0.0659706,0.112509
pubmed,3,Pure_Leiden,0.4097321,0.7815611,0.205877,0.0234537,0.0963547
pubmed,3,Louvain,1.4032261,0.7691432,0.2005181,0.024147,0.093487
pubmed,3,Pure_LPA,0.2179291,0.6378336,0.1817634,0.0004601,0.0391463
pubmed,4,Leiden-LPA_Hybrid,0.2896686,0.7735002,0.2096482,0.0699809,0.1460105
pubmed,4,Pure_Leiden,0.4176874,0.7816387,0.2019558,0.0267075,0.0984799
pubmed,4,Louvain,1.5155451,0.7687218,0.2044848,0.0279004,0.1127495
pubmed,4,Pure_LPA,0.2065637,0.6220564,0.1768557,0.000239,0.0119707
pubmed,5,Leiden-LPA_Hybrid,0.2926917,0.7762658,0.2075462,0.056578,0.1081869
pubmed,5,Pure_Leiden,0.4063592,0.781453,0.2101527,0.0314225,0.107359
pubmed,5,Louvain,1.413152,0.774465,0.1994965,0.024396,0.0929623
pubmed,5,Pure_LPA,0.1933839,0.6172711,0.1760985,0.0003341,0.0175027
pubmed,6,Leiden-LPA_Hybrid,0.2806165,0.7798753,0.217259,0.0464778,0.1165945
pubmed,6,Pure_Leiden,0.4090788,0.7802148,0.2138858,0.0319535,0.1083492
pubmed,6,Louvain,1.4989319,0.7708325,0.1951593,0.0238741,0.1026115
pubmed,6,Pure_LPA,0.1902235,0.6420613,0.1811708,0.0004977,0.0433047
pubmed,7,Leiden-LPA_Hybrid,0.2886159,0.7749132,0.215575,0.0765976,0.1394001
pubmed,7,Pure_Leiden,0.4091461,0.7845838,0.1971609,0.0247754,0.0838917
pubmed,7,Louvain,1.1941423,0.7729953,0.2029843,0.0237579,0.0883995
pubmed,7,Pure_LPA,0.1939662,0.6099695,0.1748719,0.0002695,0.012981
pubmed,8,Leiden-LPA_Hybrid,0.3618593,0.7763401,0.1986681,0.0520949,0.1071644
pubmed,8,Pure_Leiden,0.4059651,0.779755,0.2059303,0.0320557,0.1067486
pubmed,8,Louvain,1.6092374,0.7720106,0.1994336,0.0244624,0.0907399
pubmed,8,Pure_LPA,0.2096715,0.6346315,0.1787831,0.0004224,0.0306872
pubmed,9,Leiden-LPA_Hybrid,0.2658334,0.7777501,0.2164085,0.0568446,0.1251522
pubmed,9,Pure_Leiden,0.4044099,0.7817306,0.2027546,0.0302607,0.0982562
pubmed,9,Louvain,1.5677345,0.7684478,0.2007044,0.0322565,0.0916088
pubmed,9,Pure_LPA,0.1970801,0.6349063,0.1794032,0.0004226,0.0307603
dolphin,0,Leiden-LPA_Hybrid,0.0016947,0.5219928,0.6331805,0.4345146,0.4237827
dolphin,0,Pure_Leiden,0.0004516,0.5277283,0.593211,0.3423077,0.3901613
dolphin,0,Louvain,0.0016944,0.5188284,0.5162338,0.33,0.3430834
dolphin,0,Pure_LPA,0.0002384,0.5036193,0.5820904,0.4606061,0.4169634
dolphin,1,Leiden-LPA_Hybrid,0.0016894,0.5068035,0.5316616,0.4260085,0.3659626
dolphin,1,Pure_Leiden,0.0004954,0.5195799,0.4742528,0.232084,0.2708499
dolphin,1,Louvain,0.0018227,0.5277283,0.593211,0.5195854,0.3901613
dolphin,1,Pure_LPA,0.0002909,0.5012658,0.5912958,0.4410675,0.4498735
dolphin,2,Leiden-LPA_Hybrid,0.0017955,0.5176417,0.6307047,0.4485007,0.4181603
dolphin,2,Pure_Leiden,0.0005381,0.5267988,0.5714557,0.4301856,0.3939759
dolphin,2,Louvain,0.0017447,0.5188284,0.5162338,0.33,0.3430834
dolphin,2,Pure_LPA,0.0002306,0.4243305,0.5606044,0.3879457,0.490205
dolphin,3,Leiden-LPA_Hybrid,0.0014417,0.5176417,0.6307047,0.4485007,0.4181603
dolphin,3,Pure_Leiden,0.0005543,0.5195799,0.4742528,0.232084,0.2708499
dolphin,3,Louvain,0.0016291,0.5233377,0.5138894,0.362766,0.3418688
dolphin,3,Pure_LPA,0.0005291,0.4693248,0.6761534,0.4142157,0.5484456
dolphin,4,Leiden-LPA_Hybrid,0.0018234,0.5176417,0.6307047,0.4485007,0.4181603
dolphin,4,Pure_Leiden,0.0004165,0.5195799,0.4742528,0.232084,0.2708499
dolphin,4,Louvain,0.0018797,0.5176615,0.4667784,0.4711916,0.3321228
dolphin,4,Pure_LPA,0.000433,0.3648985,0.864536,0.6078431,0.9109321
dolphin,5,Leiden-LPA_Hybrid,0.0019603,0.5176417,0.6307047,0.4485007,0.4181603
dolphin,5,Pure_Leiden,0.0004473,0.5277283,0.593211,0.3423077,0.3901613
dolphin,5,Louvain,0.0019748,0.5176615,0.4667784,0.3322083,0.3321228
dolphin,5,Pure_LPA,0.0002992,0.3734821,1.0,1.0,1.0
dolphin,6,Leiden-LPA_Hybrid,0.0015504,0.5176417,0.6307047,0.4485007,0.4181603
dolphin,6,Pure_Leiden,0.0005295,0.5277283,0.593211,0.3423077,0.3901613
dolphin,6,Louvain,0.0020638,0.5188284,0.5162338,0.33,0.3430834
dolphin,6,Pure_LPA,0.0002861,0.5002571,0.4235142,0.2911892,0.2743212
dolphin,7,Leiden-LPA_Hybrid,0.0019104,0.5208457,0.5968028,0.3363755,0.3901613
dolphin,7,Pure_Leiden,0.0004303,0.5277283,0.593211,0.3423077,0.3901613
dolphin,7,Louvain,0.0019627,0.5165539,0.4617639,0.2126704,0.2508721
dolphin,7,Pure_LPA,0.0002811,0.4949765,0.5395447,0.3053158,0.3778096
dolphin,8,Leiden-LPA_Hybrid,0.0015225,0.5208457,0.5968028,0.3363755,0.3901613
dolphin,8,Pure_Leiden,0.0004194,0.524109,0.5124321,0.3240678,0.3329497
dolphin,8,Louvain,0.0017431,0.5195799,0.4742528,0.2539346,0.2708499
dolphin,8,Pure_LPA,0.0002832,0.3648985,0.864536,0.6078431,0.9109321
dolphin,9,Leiden-LPA_Hybrid,0.0018361,0.5176417,0.6307047,0.4485007,0.4181603
dolphin,9,Pure_Leiden,0.0004373,0.5285194,0.5864663,0.3302387,0.3734515
dolphin,9,Louvain,0.0017889,0.5285194,0.5864663,0.3420127,0.3734515
dolphin,9,Pure_LPA,0.0002897,0.4733792,0.5832501,0.28739,0.4338564
football,0,Leiden-LPA_Hybrid,0.0028155,0.5220694,0.7407533,0.3984668,0.4326852
football,0,Pure_Leiden,0.0008066,0.6045696,0.8903166,0.7659458,0.8069409
football,0,Louvain,0.0042136,0.6045696,0.8903166,0.7659458,0.8069409
football,0,Pure_LPA,0.0004778,0.590537,0.8772491,0.6415882,0.7572247
football,1,Leiden-LPA_Hybrid,0.002774,0.5238697,0.7429773,0.3954806,0.4360042
football,1,Pure_Leiden,0.0008042,0.6045696,0.8903166,0.7659458,0.8069409
football,1,Louvain,0.0041635,0.6044072,0.8560827,0.671026,0.7070673
football,1,Pure_LPA,0.0004878,0.5670132,0.8351636,0.5996479,0.6663092
football,2,Leiden-LPA_Hybrid,0.002804,0.5238697,0.7429773,0.3954806,0.4360042
football,2,Pure_Leiden,0.0007606,0.6045696,0.8903166,0.7659458,0.8069409
football,2,Louvain,0.0040483,0.604346,0.8849617,0.7663487,0.8034681
football,2,Pure_LPA,0.0004783,0.5972885,0.8795951,0.744293,0.7543705
football,3,Leiden-LPA_Hybrid,0.0030518,0.5238697,0.7429773,0.3954806,0.4360042
football,3,Pure_Leiden,0.0007491,0.6045696,0.8903166,0.7659458,0.8069409
football,3,Louvain,0.0039923,0.5990236,0.8315216,0.5747633,0.6326464
football,3,Pure_LPA,0.000679,0.60012,0.8543893,0.6732582,0.69943
football,4,Leiden-LPA_Hybrid,0.0025234,0.5238697,0.7429773,0.3954806,0.4360042
football,4,Pure_Leiden,0.0007524,0.6045696,0.8903166,0.7659458,0.8069409
football,4,Louvain,0.0036266,0.6044072,0.8560827,0.671026,0.7070673
football,4,Pure_LPA,0.0006349,0.5059584,0.6811786,0.3593134,0.3620197
football,5,Leiden-LPA_Hybrid,0.0024893,0.5238697,0.7429773,0.3954806,0.4360042
football,5,Pure_Leiden,0.0007615,0.6045696,0.8903166,0.7659458,0.8069409
football,5,Louvain,0.0038755,0.6045696,0.8903166,0.7659458,0.8069409
football,5,Pure_LPA,0.0004797,0.5300025,0.800753,0.5920493,0.4412746
football,6,Leiden-LPA_Hybrid,0.0026934,0.5238697,0.7429773,0.3954806,0.4360042
football,6,Pure_Leiden,0.0007343,0.6044285,0.8922958,0.7641206,0.8165464
football,6,Louvain,0.0040321,0.6019696,0.8573832,0.6650514,0.7372112
football,6,Pure_LPA,0.0006428,0.5967163,0.8507002,0.6491958,0.6501549
football,7,Leiden-LPA_Hybrid,0.0028203,0.5299147,0.7448881,0.3906653,0.4662121
football,7,Pure_Leiden,0.000747,0.6045696,0.8903166,0.7659458,0.8069409
football,7,Louvain,0.003777,0.604346,0.8849617,0.7663487,0.8034681
football,7,Pure_LPA,0.0006435,0.5834103,0.8475171,0.5950018,0.6179016
